,Host Id,Host Since,Name,Borough,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
11868,5267831,2013-02-28,Awesome room in E.Williamsburg!,Brooklyn,Apartment,,Private room,11237.0,1.0,1,0,80,
4108,1215949,2011-09-27,"Huge factory loft, prime location",Brooklyn,Loft,90.0,Entire home/apt,11211.0,1.0,1,45,225,94.0
5702,1758019,2012-02-15,Ideal Location + Shower In Kitchen!,Manhattan,Apartment,95.0,Entire home/apt,10014.0,1.0,1,9,150,98.0
619,81821,2010-02-16,Room w/ Private Bathroom & Terrace,Manhattan,Apartment,90.0,Private room,10025.0,1.0,1,3,120,93.0
26872,30720892,2015-04-06,Sunny and Spacious UES Studio,Manhattan,Apartment,100.0,Entire home/apt,10065.0,2.0,1,4,150,100.0
21822,19299915,2014-08-01,Sunny 2BR PRIME Williamsburg w/VIEW,Brooklyn,Apartment,95.0,Entire home/apt,11249.0,2.0,1,44,200,97.0
29787,40046813,2015-07-30,NYC for Students & Travelers Wifi,Brooklyn,Apartment,100.0,Shared room,11216.0,1.0,1,1,42,100.0
336,48143,2009-10-25,Financial District Retreat 2,Manhattan,Apartment,95.0,Entire home/apt,10005.0,1.0,1,11,235,98.0
1973,351384,2011-01-17,"For Walter, King Size Bed",Brooklyn,Other,,Entire home/apt,11211.0,1.0,1,0,1200,
9678,3931792,2012-10-20,Great quiet duplex in Manhattan!,Manhattan,Apartment,85.0,Entire home/apt,10075.0,1.0,1,22,195,88.0
19678,15226163,2014-05-07,Lovely Cozy & Quiet WVillage Studio,Manhattan,Apartment,95.0,Entire home/apt,10014.0,2.0,1,6,205,95.0
20662,17078649,2014-06-21,Sunny private room in Williamsburg,Brooklyn,Apartment,85.0,Private room,11206.0,1.0,1,25,95,87.0
12133,5499064,2013-03-17,Beautiful Room near Manhattan,Brooklyn,Apartment,85.0,Private room,11221.0,1.0,1,45,45,87.0
924,143027,2010-06-12,Retreat in Williamsburg,Brooklyn,Apartment,95.0,Entire home/apt,11211.0,1.0,1,137,185,99.0
19877,15588231,2014-05-16,Shared room in a cozy one bedroom!,Brooklyn,Apartment,,Shared room,11226.0,1.0,1,0,55,
10017,4105376,2012-11-09,2 Bdr Loft Apt in Nolita/Soho LES,Manhattan,Apartment,85.0,Private room,10012.0,1.0,1,36,150,89.0
4911,1465519,2011-12-02,Cozy Two Bedroom in Heart of East V,Manhattan,Apartment,80.0,Entire home/apt,10009.0,3.0,1,2,198,80.0
23061,21686137,2014-09-23,Bright Designer 1BR in LES,Manhattan,Apartment,95.0,Entire home/apt,10002.0,1.0,1,17,169,95.0
22127,19894798,2014-08-12,Large Authentic Brooklyn Loft,Brooklyn,Apartment,95.0,Entire home/apt,11249.0,1.0,1,10,200,96.0
6948,2355416,2012-05-12,Magical Home minutes from Midtown!,Queens,Apartment,90.0,Entire home/apt,11105.0,3.0,1,23,95,92.0
28381,35485497,2015-06-10,Room in cozy townhouse with parking,Staten Island,House,90.0,Private room,10314.0,1.0,1,10,57,90.0
2484,524333,2011-04-20,"Chelsea, Stylish Brownstone Studio",Manhattan,Apartment,90.0,Entire home/apt,10011.0,1.0,1,61,299,92.0
19070,13978937,2014-04-07,Cozy 2 bedrooms in Time Square,Manhattan,Apartment,90.0,Entire home/apt,10019.0,3.0,1,22,249,92.0
19345,14496070,2014-04-20,Cozy room in historical Harlem,Manhattan,Apartment,80.0,Private room,10027.0,1.0,1,10,72,80.0
19527,14929050,2014-04-30,1 bedroom Upper West Side Sublet,Manhattan,Apartment,100.0,Entire home/apt,10025.0,1.0,1,1,200,100.0
19722,15339378,2014-05-10,Beautiful Studio @ EAST VILLAGE!,Manhattan,Apartment,80.0,Entire home/apt,10003.0,2.0,1,1,129,80.0
8175,3019399,2012-07-22,Elegant 1 bed studio in Chelsea,Manhattan,Apartment,,Entire home/apt,10001.0,2.0,1,0,200,
28971,37138042,2015-06-30,Large airy private near NYP Hosp,Manhattan,Apartment,90.0,Private room,10032.0,1.0,1,10,86,92.0
2411,496164,2011-04-09,Spacious E Williamsburg with Yard!!,Brooklyn,Apartment,85.0,Private room,11206.0,1.0,1,30,60,88.0
58,7322,2009-02-02,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85.0,Entire home/apt,10016.0,1.0,1,47,200,86.0
14291,7464553,2013-07-13,1 BDR FULLY FURNISHED SOHO/EAST VL,Manhattan,Apartment,80.0,Entire home/apt,10003.0,1.0,1,1,179,80.0
17313,10801429,2013-12-25,Bedroom available next to Cloisters,Manhattan,Apartment,100.0,Private room,10034.0,1.0,1,2,48,100.0
27687,33346283,2015-05-14,Get away from busy city!,Manhattan,Apartment,90.0,Private room,10031.0,1.0,1,5,50,92.0
1017,168417,2010-07-16,CENTRAL PARK LOFT all for YOU,Manhattan,Apartment,80.0,Entire home/apt,10028.0,1.0,1,99,99,83.0
18373,12405344,2014-02-19,European artist's cozy place,Brooklyn,Apartment,100.0,Private room,,1.0,1,1,83,100.0
12840,6141961,2013-04-29,Bright Williamsburg Apt Near Subway,Brooklyn,Apartment,100.0,Entire home/apt,11211.0,1.0,1,7,185,100.0
13847,6980650,2013-06-18,Spacious Apartment Luxury Building,Manhattan,Apartment,,Private room,10128.0,2.0,1,0,249,
5539,1678861,2012-01-31,Beautiful 1br West Village,Manhattan,Apartment,85.0,Entire home/apt,10014.0,1.0,1,4,199,87.0
18501,12641973,2014-02-27,Semi private 15 min to Manhattan,Queens,Apartment,90.0,Private room,11105.0,1.0,1,32,60,94.0
5175,1533019,2011-12-24,Boutique Hotel Styled Apartment!,Manhattan,Apartment,90.0,Entire home/apt,10040.0,1.0,1,140,75,93.0
13774,6932505,2013-06-15,Cute & Cozy Brownstone 2BR Apt!!,Brooklyn,Apartment,90.0,Private room,11217.0,1.0,1,9,70,90.0
16926,10428512,2013-12-04,LUXURY Chic! EMPIRE ST Bldg Views!!,Manhattan,Apartment,90.0,Private room,10009.0,1.0,1,9,90,91.0
22765,21124099,2014-09-09,Spacious room close to Manhattan,Brooklyn,Apartment,85.0,Private room,11207.0,1.0,1,20,50,87.0
24093,23486229,2014-11-08,Great view in Manhattan,Manhattan,Apartment,,Private room,10009.0,1.0,1,0,88,
30071,41095130,2015-08-10,"1 room, August 19- sept 6.",Manhattan,Apartment,,Private room,10040.0,1.0,1,0,33,
