,Host Id,Host Since,Name,Borough,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
9969,4087416,2012-11-07,SUNNY MODERN LOFT B ON BEDFORD AVE!,Brooklyn,Apartment,90.0,Private room,11249.0,1.0,1,43,96,90.0
4687,1410863,2011-11-15,Beautiful brownstone in Brooklyn!,Brooklyn,Apartment,,Entire home/apt,11238.0,2.0,1,0,125,
30073,41090359,2015-08-10,next to major transportation,Queens,Bed & Breakfast,,Private room,11377.0,1.0,1,0,70,
9556,3853362,2012-10-13,HUGE  1 Bedroom Min away from City!,Brooklyn,Apartment,85.0,Entire home/apt,11211.0,1.0,1,9,125,85.0
22791,21169007,2014-09-10,Convenient & Cozy 1-Bdrm Apt!,Manhattan,Apartment,,Entire home/apt,10025.0,1.0,1,0,185,
7445,2627524,2012-06-13,"private.sunny,room in west village",Manhattan,Apartment,90.0,Private room,10012.0,1.0,1,36,90,91.0
16624,10153235,2013-11-20,Lovely large 1-bdrm apt UWS,Manhattan,Apartment,,Entire home/apt,10023.0,1.0,1,0,235,
29749,39962821,2015-07-29,Private Room Brooklyn,Brooklyn,Apartment,100.0,Private room,11201.0,2.0,1,1,199,100.0
6859,2313878,2012-05-07,Luxurious Home - Upscale Stay in NY,Manhattan,Apartment,,Entire home/apt,10025.0,2.0,1,0,450,
3955,1153352,2011-09-13,Living La LES,Manhattan,Apartment,85.0,Entire home/apt,10002.0,2.0,1,36,125,88.0
26788,30343837,2015-03-31,"Quiet, Clean, Private Room with A/C",Manhattan,Apartment,95.0,Private room,10040.0,1.0,1,5,60,96.0
716,103773,2010-04-05,Charming 1BD in Prospect Heights,Brooklyn,Apartment,90.0,Entire home/apt,11238.0,1.0,1,22,120,93.0
26912,30874420,2015-04-08,COZY GEM in the East Village,Manhattan,Apartment,60.0,Entire home/apt,10003.0,3.0,1,4,195,60.0
22059,19758346,2014-08-10,Beautiful West Village 1 BR Gem!,Manhattan,Apartment,100.0,Entire home/apt,10014.0,1.0,1,4,199,100.0
16250,9772800,2013-11-02,Big Sunny Room in BK Brownstone,Brooklyn,Apartment,90.0,Private room,11238.0,1.0,1,3,86,93.0
3325,841179,2011-07-19,Charming 2BD Apt in Trendy Bushwick,Brooklyn,Apartment,85.0,Entire home/apt,11237.0,3.0,1,15,125,89.0
20087,16042623,2014-05-27,Comfortable bed in Astoria,Queens,Apartment,95.0,Private room,11105.0,2.0,1,40,80,96.0
28493,35881551,2015-06-15,Stylish 1BR in Soho,Manhattan,Apartment,,Entire home/apt,10012.0,1.0,1,0,300,
20907,17468163,2014-06-30,New York City Large Gramercy Studio,Manhattan,Apartment,85.0,Entire home/apt,10010.0,1.0,1,29,150,86.0
15920,9371252,2013-10-11,Cozy 2 Br On Lower East Side,Manhattan,Apartment,80.0,Entire home/apt,10009.0,2.0,1,2,250,80.0
10000,4094567,2012-11-08,LUXURY SUITE **** MANHATTAN SKYLINE,Queens,Apartment,95.0,Private room,11101.0,1.0,1,13,158,98.0
21726,19048212,2014-07-28,West Village (Manhattan) Apartment,Manhattan,Apartment,100.0,Shared room,10014.0,1.0,1,1,80,100.0
387,55176,2009-11-17,It's all about Bushwick BROOKLYN,Brooklyn,Apartment,90.0,Entire home/apt,11207.0,2.0,1,98,125,93.0
27498,32873728,2015-05-07,Charming Brooklyn Heights,Brooklyn,Apartment,,Entire home/apt,11201.0,2.0,1,0,250,
27472,32696795,2015-05-05,Cozy private bed on top of the city,Manhattan,Apartment,,Private room,10039.0,1.0,1,0,100,
2886,665013,2011-06-04,"Chelsea Studio, great location",Manhattan,Apartment,90.0,Entire home/apt,10011.0,1.0,1,8,155,94.0
19311,14430290,2014-04-18,Lovely Two Bedroom,Manhattan,Apartment,80.0,Entire home/apt,10035.0,4.0,1,5,195,80.0
7309,2549076,2012-06-04,"Williamsburg, 10 min. to the city!",Brooklyn,Apartment,95.0,Private room,11211.0,1.0,1,10,90,98.0
20495,16783314,2014-06-14,Stylish NYC Experience Central Spot,Manhattan,Apartment,85.0,Entire home/apt,10013.0,2.0,1,37,195,85.0
21875,19394025,2014-08-03,Charming Duplex w/ Balcony,Manhattan,Apartment,90.0,Entire home/apt,10009.0,2.0,1,7,369,93.0
22214,20123174,2014-08-16,Room available in Williamsburg,Brooklyn,Apartment,,Private room,11211.0,1.0,1,0,90,
13896,7041588,2013-06-21,Luxury 1br Fantastic Location,Manhattan,Apartment,90.0,Entire home/apt,10022.0,2.0,1,47,200,92.0
20396,16625640,2014-06-10,3 Bedroom Dplx Minutes from Midtown,Queens,Apartment,,Entire home/apt,11101.0,3.0,1,0,209,
16189,9669383,2013-10-27,Biggest Room in Brooklyn!,Brooklyn,Apartment,,Private room,11221.0,1.0,1,0,75,
19541,14935858,2014-04-30,Gut reno room in Hell's Kitchen,Manhattan,Apartment,100.0,Private room,10036.0,1.0,1,5,99,100.0
15395,8773146,2013-09-11,Studio apartment in Time Square,Manhattan,Apartment,,Entire home/apt,10036.0,1.0,1,0,280,
18549,12767563,2014-03-03,LOFTY NYC Apartment,Manhattan,Apartment,85.0,Entire home/apt,10016.0,2.0,1,15,300,89.0
9566,3853135,2012-10-13,Crash on my oversized sofa,Brooklyn,Apartment,100.0,Private room,11238.0,2.0,1,1,95,100.0
25263,25277418,2014-12-27,Charming wall window apartment,Manhattan,Apartment,100.0,Private room,10038.0,1.0,1,3,100,100.0
14519,7695358,2013-07-24,Awesome room available in Harlem!,Manhattan,Apartment,90.0,Private room,10030.0,1.0,1,3,65,93.0
7607,2697468,2012-06-20,Bright Room in Williamsburg,Brooklyn,Apartment,,Private room,11206.0,1.0,1,0,80,
18142,12036642,2014-02-07,"Modern, Convenient & Spacious 2BR",Manhattan,Apartment,85.0,Entire home/apt,10026.0,2.0,1,6,180,87.0
14590,7771782,2013-07-28,Beautiful Halsey Street Room,Brooklyn,House,90.0,Private room,11233.0,2.0,1,6,70,92.0
20877,17384869,2014-06-29,"LARGE MODERN 2BR APT,Prime Location",Manhattan,Apartment,95.0,Entire home/apt,10003.0,2.0,1,4,199,95.0
13421,6643306,2013-05-29,Nice 1BR in Williamsburg Brownstone,Brooklyn,Apartment,90.0,Entire home/apt,11211.0,1.0,1,3,150,93.0
25872,27069783,2015-02-01,CHELSEA /MEAT-PACKING GEM !,Manhattan,Apartment,85.0,Entire home/apt,10011.0,2.0,1,28,159,89.0
9686,3936154,2012-10-21,Cozy 4 BR Brooklyn townhouse,Brooklyn,House,100.0,Entire home/apt,11238.0,5.0,1,4,500,100.0
547,67180,2010-01-02,Heart of Manhattan: Charming 1BD,Manhattan,Apartment,95.0,Entire home/apt,10011.0,1.0,1,7,190,97.0
2434,507527,2011-04-13,PH Apartment with Waterfront view,Queens,Apartment,95.0,Private room,11109.0,1.0,1,5,160,96.0
20276,16420179,2014-06-05,Spacious & sunny 1 bdrm w views,Brooklyn,Apartment,,Entire home/apt,11231.0,1.0,1,0,125,
16665,10195268,2013-11-22,Large Studio apartment,Manhattan,Apartment,75.0,Entire home/apt,10026.0,1.0,1,12,130,78.0
11536,5006781,2013-02-07,"2 Bedroom Apt,2 Subway Stops to NYC",Queens,Apartment,85.0,Entire home/apt,11101.0,2.0,1,67,150,86.0
7143,2453955,2012-05-24,Cosy apartment in Astoria,Queens,Apartment,100.0,Entire home/apt,11101.0,2.0,1,2,120,100.0
18116,11971181,2014-02-05,BEAUTIFUL Upper East Side Manhattan,Manhattan,Apartment,85.0,Entire home/apt,10028.0,1.0,1,9,210,89.0
17630,11216537,2014-01-11,Guest Room Avail in Designers' Apt,Manhattan,Apartment,100.0,Private room,10032.0,1.0,1,2,99,100.0
16782,10317189,2013-11-28,UWS MANHATTAN APT FOR SUPERBOWL WE,Manhattan,Apartment,,Entire home/apt,10025.0,2.0,1,0,1000,
19592,15029400,2014-05-02,3 Bedroom @ JFK CASINO BEACH LOCALE,Queens,House,80.0,Private room,11691.0,3.0,1,13,70,80.0
20092,16091512,2014-05-28,Quiet Cobble Hill Gem 2BR Duplex,Brooklyn,Apartment,100.0,Entire home/apt,11231.0,3.0,1,2,250,100.0
6057,1929442,2012-03-15,Mayor's Mansion - Carlton Suite,Brooklyn,Apartment,95.0,Private room,11238.0,1.0,1,62,120,97.0
4611,1394543,2011-11-10,1 bedrm-Renovated-Steps from park!,Brooklyn,Apartment,,Entire home/apt,11226.0,1.0,1,0,99,
16443,9941923,2013-11-11,Cozy bedroom in Clinton Hill,Brooklyn,Apartment,,Private room,11205.0,1.0,1,0,38,
28416,35524316,2015-06-11,[306] 5 min WALK to Times Square!,Manhattan,Apartment,85.0,Private room,10036.0,2.0,1,8,235,85.0
5096,1510984,2011-12-16,TIMES SQUARE MODERN 1 BEDROOM,Manhattan,Apartment,95.0,Entire home/apt,10019.0,2.0,1,10,265,98.0
1110,184110,2010-07-28,Room With A View...of Central Park,Manhattan,Apartment,85.0,Private room,10026.0,1.0,1,11,90,87.0
21929,19514454,2014-08-05,Cozy room in Bed/Stuy Brooklyn,Brooklyn,Apartment,60.0,Private room,11206.0,1.0,1,1,75,60.0
1964,346044,2011-01-13,New Entire 1 bdrm Apartment in LES,Manhattan,Apartment,95.0,Entire home/apt,10002.0,1.0,1,5,199,96.0
10252,4203018,2012-11-20,"Perfect Room in Soho, Best Stay!",Manhattan,Apartment,95.0,Private room,10012.0,1.0,1,38,120,95.0
30338,42428260,2015-08-24,Comfortable Studio in Midtown East.,Manhattan,Apartment,,Entire home/apt,10016.0,1.0,1,0,119,
28407,35524316,2015-06-11,[201] 5 min WALK to Times Square!,Manhattan,Apartment,,Private room,10036.0,2.0,1,0,250,
27411,32528083,2015-05-03,Beautiful apt with NYC skyline view,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,1,5,180,100.0
16871,10385512,2013-12-02,Sunny room in building near Subway!,Brooklyn,Apartment,,Private room,11223.0,1.0,1,1,55,
22780,21183428,2014-09-10,Retreat Near Manhattan,Brooklyn,Apartment,100.0,Entire home/apt,11216.0,2.0,1,1,129,100.0
7930,2862454,2012-07-07,1000ft² - Chic 2BR on best Block,Brooklyn,Apartment,100.0,Entire home/apt,11249.0,1.0,1,13,275,100.0
9203,3621084,2012-09-19,Lovely Guest Room,Manhattan,Apartment,95.0,Private room,10030.0,2.0,1,57,90,95.0
5252,1570170,2012-01-05,Your Own 2 Br Apt Bedford and Grand,Brooklyn,Apartment,95.0,Entire home/apt,11211.0,2.0,1,100,180,97.0
24142,23592180,2014-11-10,Great spacious 1bd upper Westside,Manhattan,Apartment,100.0,Entire home/apt,10025.0,1.0,1,2,216,100.0
8733,3328706,2012-08-21,1 BD w/ Balcony * Doorman *Elevator,Manhattan,Apartment,100.0,Entire home/apt,10075.0,1.0,1,1,225,100.0
19682,15222533,2014-05-07,Beautiful East Village Room In 2-BD,Manhattan,Apartment,,Private room,10003.0,1.0,1,0,69,
6918,2341031,2012-05-10,Private Room in Lower East Side Apt,Manhattan,Apartment,60.0,Private room,10002.0,1.0,1,1,80,60.0
950,149430,2010-06-21,Full apartment in Manhattan,Manhattan,Apartment,80.0,Entire home/apt,10029.0,2.0,1,26,120,82.0
4504,1354796,2011-10-31,"Private, Cozy Bedroom/ Barclay Ctr",Brooklyn,Bed & Breakfast,85.0,Private room,11225.0,1.0,1,35,55,86.0
1693,295760,2010-11-22,Colorful Private One Bedroom Apt,Manhattan,Apartment,90.0,Entire home/apt,10013.0,3.0,1,19,140,91.0
21623,18880856,2014-07-25,Akua's Bed-Stuy Study,Brooklyn,House,85.0,Entire home/apt,11216.0,2.0,1,8,110,88.0
20925,17479646,2014-06-30,Cozy KING Size Bed in Brooklyn,Brooklyn,Apartment,90.0,Private room,11207.0,1.0,1,75,55,92.0
19873,15603335,2014-05-16,Private bedroom available at dorm,Brooklyn,Dorm,40.0,Private room,11210.0,1.0,1,1,65,40.0
26537,29434367,2015-03-16,R1-Safe Clean Large room with wifi,Manhattan,Apartment,75.0,Private room,10013.0,2.0,1,9,125,78.0
28278,35242753,2015-06-07,"Cool, Spacious Manhattan Bedroom",Manhattan,Apartment,,Private room,10029.0,1.0,1,0,75,
13379,6569891,2013-05-25,Beautiful Apartment in Greenpoint,Brooklyn,Apartment,,Private room,11222.0,1.0,1,0,150,
21912,19523446,2014-08-05,Spacious Chique Brooklyn Gem,Brooklyn,Apartment,85.0,Entire home/apt,11238.0,1.0,1,12,150,88.0
4569,1375665,2011-11-06,Stylish West Village 1 BR Apartment,Manhattan,Apartment,95.0,Entire home/apt,10014.0,1.0,1,36,225,99.0
8509,3222119,2012-08-10,Beautiful Stylish Loft - SOHO NY,Manhattan,Apartment,90.0,Entire home/apt,10012.0,1.0,1,3,249,94.0
5134,1518028,2011-12-19,Modern Luxury Manhattan Getaway,Manhattan,Apartment,100.0,Entire home/apt,10030.0,1.0,1,1,127,100.0
22550,20738908,2014-08-30,Ditmas Park townhouse front bedroom,Brooklyn,Apartment,80.0,Private room,11226.0,1.0,1,2,50,80.0
11928,5325906,2013-03-04,Beautiful room in West Village,Manhattan,Apartment,,Private room,10014.0,1.0,1,0,85,
26,3647,2008-10-14,Queens Quality Convenient Apartment,Queens,Apartment,100.0,Entire home/apt,11373.0,2.0,1,9,99,100.0
22872,21294276,2014-09-13,Very Large Room in Hell's Kitchen,Manhattan,Apartment,,Private room,10036.0,1.0,1,0,139,
295,40893,2009-09-24,Charming bedroom/office in Brooklyn,Brooklyn,Apartment,,Private room,11215.0,1.0,1,0,150,
4369,1309418,2011-10-18,Garden Duplex Apartment,Brooklyn,Apartment,90.0,Private room,11237.0,1.0,1,3,86,93.0
3796,1040538,2011-08-30,New Modern Luxury 1BR on High Line,Manhattan,Apartment,,Entire home/apt,10001.0,1.0,1,0,230,
27429,32617346,2015-05-04,Cozy Studio Apt,Brooklyn,House,90.0,Entire home/apt,11207.0,2.0,1,2,69,90.0
3378,861692,2011-07-24,"Room in artist's home, Williamsburg",Brooklyn,Apartment,100.0,Private room,11211.0,1.0,1,1,59,100.0
16142,9622750,2013-10-24,Cozy 1 bed in Murray Hill,Manhattan,Apartment,90.0,Private room,10016.0,1.0,1,10,80,92.0
9005,3504214,2012-09-07,Charming 2 BR Murray Hill/Flatiron,Manhattan,Apartment,85.0,Entire home/apt,10016.0,3.0,1,15,298,89.0
15022,8280108,2013-08-20,Cute 1 bedroom apt in East Village,Manhattan,Apartment,,Entire home/apt,10009.0,1.0,1,0,175,
9284,3665334,2012-09-24,2 bedrooms apartment in Astoria,Queens,Apartment,,Private room,11105.0,2.0,1,0,80,
17730,11360902,2014-01-16,Stunning Furnished 2 Bedrooom UWS,Manhattan,Apartment,60.0,Entire home/apt,10025.0,2.0,1,2,170,60.0
26835,8479154,2015-04-04,Cozy one-bedroom apartment on UES,Manhattan,Apartment,100.0,Entire home/apt,10128.0,2.0,1,3,125,100.0
19252,14362849,2014-04-16,E70's-Cozy Warm Studio-,Manhattan,Apartment,90.0,Entire home/apt,10021.0,2.0,1,3,166,93.0
24816,24630998,2014-12-08,"SAFE, Sleek and Sassy Private Room",Bronx,Apartment,85.0,Private room,10463.0,1.0,1,3,51,87.0
16725,10259151,2013-11-25,Amazing Location & HUGE 1 Bedroom,Manhattan,Apartment,,Entire home/apt,10027.0,1.0,1,0,150,
8691,3310189,2012-08-19,nice bedroom2 10 min from Manhattan,Brooklyn,Bed & Breakfast,95.0,Private room,11216.0,1.0,1,4,80,95.0
15011,8255021,2013-08-19,Sun filled oasis in artist's studio,Brooklyn,Apartment,90.0,Private room,11222.0,1.0,1,19,79,92.0
698,97580,2010-03-23,Cozy private room in Astoria,Queens,Apartment,95.0,Private room,11106.0,1.0,1,6,70,97.0
28233,35039420,2015-06-05,Williamsburg amazing location,Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,2,85,90.0
11924,5311348,2013-03-04,Cozy Bedroom with Private Bath,Brooklyn,Apartment,80.0,Private room,11221.0,1.0,1,5,50,80.0
27856,33858504,2015-05-20,New Dorp Beach,Staten Island,House,100.0,Private room,10306.0,1.0,1,1,45,100.0
21805,19224718,2014-07-31,Cozy room in Williamsburg,Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,20,85,92.0
26520,29405964,2015-03-15,Renovated 1Br - Times Square!,Manhattan,Apartment,95.0,Entire home/apt,10018.0,1.0,1,7,250,97.0
10763,4421427,2012-12-16,NYC Flat 2 Blocks from Central Park,Manhattan,Apartment,85.0,Entire home/apt,10023.0,2.0,1,20,194,88.0
23246,22024560,2014-10-01,Modern Flat in Historic Harlem,Manhattan,Apartment,80.0,Entire home/apt,10037.0,2.0,1,1,133,80.0
9446,3778274,2012-10-06,Huge Room in South Williamsburg,Brooklyn,Apartment,90.0,Private room,11205.0,1.0,1,104,85,94.0
6409,2107234,2012-04-10,LOFTY Brooklyn 2BR - 10 mins to NYC,Brooklyn,Apartment,90.0,Entire home/apt,11201.0,2.0,1,39,185,94.0
14898,8096530,2013-08-12,PrivateBathTimeSqHellsKitcManhat,Manhattan,Apartment,,Private room,10036.0,1.0,1,0,79,
5553,1683790,2012-02-01,Lovely Prospect Heights apartment!,Brooklyn,Apartment,100.0,Private room,11238.0,1.0,1,2,122,100.0
7793,2777672,2012-06-29,A Cozy Creative Room for Nomads,Manhattan,Apartment,90.0,Private room,10025.0,1.0,1,72,87,94.0
6470,2134501,2012-04-13,Traveler's Retreat in New York City,Queens,Apartment,90.0,Private room,11102.0,1.0,1,16,60,93.0
29019,37325782,2015-07-02,Bright & cozy room in Brooklyn!,Brooklyn,Apartment,,Private room,11216.0,1.0,1,0,40,
5828,1810885,2012-02-26,Designer/artist apartment,Manhattan,House,,Entire home/apt,10009.0,1.0,1,0,180,
6250,2033003,2012-03-29,Sleek Room in Trendy Location,Manhattan,Apartment,100.0,Private room,10003.0,1.0,1,1,99,100.0
20155,16160778,2014-05-30,1Bd in Bright 2 Bdr Apt in Kips Bay,Manhattan,Apartment,60.0,Private room,10016.0,1.0,1,2,125,60.0
15699,9129677,2013-09-29,Charming Artistic Manhattan Apt,Manhattan,Apartment,,Entire home/apt,10028.0,2.0,1,0,105,
4730,1413098,2011-11-16,One stop from Midtown Manhattan!,Queens,Apartment,95.0,Private room,11101.0,1.0,1,114,95,97.0
8606,3252311,2012-08-14,Cozy Room near Botanical Gardens,Brooklyn,Apartment,80.0,Private room,11225.0,1.0,1,4,60,80.0
24670,24425672,2014-12-02,"Nice Bedroom - 360° Rooftop, Gym,..",Manhattan,Apartment,80.0,Private room,10009.0,1.0,1,6,130,80.0
19829,15540040,2014-05-14,Room in Artist loft,Brooklyn,Apartment,100.0,Private room,11226.0,1.0,1,6,70,100.0
11920,5310926,2013-03-04,"Modern Room, prime Williamsburg!",Brooklyn,Apartment,,Private room,11211.0,1.0,1,0,99,
6230,2020730,2012-03-27,Bedroom in the heart of Chelsea,Manhattan,Apartment,95.0,Private room,10011.0,1.0,1,14,125,95.0
19570,14951748,2014-05-01,Backyard Room in Williamsburg Flat,Brooklyn,Apartment,80.0,Private room,11249.0,1.0,1,41,100,80.0
6253,2038461,2012-03-30,The Real Brooklyn Experience,Brooklyn,Apartment,100.0,Entire home/apt,11211.0,1.0,1,1,120,100.0
4700,1410714,2011-11-15,"Brooklyn, A Big Bedroom, Good Vibes",Brooklyn,Apartment,95.0,Private room,11213.0,2.0,1,11,58,98.0
18922,13709712,2014-03-30,1 Bedroom Apartment in Brooklyn,Brooklyn,Apartment,90.0,Entire home/apt,11232.0,2.0,1,51,150,90.0
18817,13451045,2014-03-23,Pull-out Sofa in Our Living Room,Brooklyn,Apartment,,Private room,,1.0,1,0,35,
9363,3726366,2012-10-01,Colorful New York East Village Apt,Manhattan,Apartment,90.0,Entire home/apt,10009.0,1.0,1,20,140,93.0
25620,26318463,2015-01-18,"Manhattan Best Location, big apto",Manhattan,Apartment,95.0,Entire home/apt,10025.0,2.0,1,14,234,97.0
20836,17345365,2014-06-27,Quaint & Cozy,Brooklyn,House,,Private room,11216.0,1.0,1,0,125,
52,7118,2009-01-26,PERFECT location! Contact me NOW!,Manhattan,Apartment,85.0,Entire home/apt,10036.0,1.0,1,14,200,87.0
17230,10698270,2013-12-18,Great Room in Upper East Side,Manhattan,Apartment,90.0,Private room,10021.0,1.0,1,8,90,90.0
9258,3654097,2012-09-23,Historic Townhouse - Mott Room,Bronx,Bed & Breakfast,100.0,Private room,10454.0,1.0,1,2,65,100.0
28926,37034890,2015-06-29,5th Ave Pied a Terre,Manhattan,Apartment,,Entire home/apt,10028.0,1.0,1,1,200,
27572,33064599,2015-05-10,Quiet Sunny bedroom (female only),Manhattan,Apartment,,Private room,10025.0,1.0,1,0,99,
29745,5012408,2015-07-29,UES 22nd floor Manhattan 1 bedroom,Manhattan,Apartment,,Entire home/apt,10075.0,2.0,1,0,149,
19271,14378462,2014-04-16,Spacious Astoria Room in Apartment,Queens,Apartment,,Private room,,1.0,1,0,67,
15109,8354811,2013-08-23,New Apartment near Subway,Queens,Apartment,70.0,Entire home/apt,11103.0,2.0,1,2,99,70.0
497,63036,2009-12-14,New Apt in Elevator Building,Manhattan,Apartment,80.0,Entire home/apt,10026.0,2.0,1,3,225,80.0
5466,1647202,2012-01-24,Ideal Private 1bdr in Williamsburg!,Brooklyn,Apartment,,Entire home/apt,11211.0,1.0,1,0,120,
2958,689018,2011-06-11,Amazing 2 Bedroom Flat - Village,Manhattan,Apartment,90.0,Entire home/apt,10003.0,3.0,1,1,249,91.0
17673,11278804,2014-01-13,Comfortable & Cozy with great view,Queens,Apartment,,Entire home/apt,11101.0,4.0,1,0,180,
23291,22088164,2014-10-03,Garden Oasis Apartment - 2 bedroom,Manhattan,Apartment,90.0,Entire home/apt,10035.0,4.0,1,36,200,94.0
19666,15175734,2014-05-06,Large clean sunny room,Manhattan,Apartment,,Private room,10002.0,1.0,1,1,75,
5139,1520436,2011-12-20,1000sft FURNISHED LOFT FOR SUBLET,Manhattan,Loft,,Entire home/apt,10002.0,1.0,1,0,300,
18837,13501034,2014-03-24,darling small studio,Manhattan,Apartment,80.0,Entire home/apt,10128.0,1.0,1,1,100,80.0
9898,4061661,2012-11-04,"Spacious, Modern Luxury - Manhattan",Manhattan,Apartment,95.0,Entire home/apt,10280.0,2.0,1,7,249,97.0
9176,3603284,2012-09-18,LoftyGorgeousDuplex 3br Gem/Fits8,Queens,House,85.0,Entire home/apt,11385.0,4.0,1,18,165,87.0
19696,15271615,2014-05-08,Enchanting Home Huge Private Patio,Manhattan,Apartment,75.0,Entire home/apt,10016.0,5.0,1,6,450,76.0
19280,14398173,2014-04-17,Beautiful sunny studio -Midtown NYC,Manhattan,Apartment,95.0,Entire home/apt,10017.0,1.0,1,12,150,96.0
11593,5042891,2013-02-11,Luxury Apartment Near Central Park,Manhattan,Apartment,,Entire home/apt,10019.0,2.0,1,0,260,
19761,15423843,2014-05-12,"amazing,central park, doorman,clean",Manhattan,Apartment,100.0,Entire home/apt,10019.0,2.0,1,4,189,100.0
2737,610690,2011-05-21,Single room in townhouse with yard!,Brooklyn,House,100.0,Private room,11233.0,1.0,1,3,65,100.0
29235,38123545,2015-07-10,Great Room  With A Bed and Futon,Brooklyn,Apartment,80.0,Private room,11221.0,2.0,1,1,75,80.0
20543,16877691,2014-06-16,Cozy Private Room - Upper West Side,Manhattan,Apartment,90.0,Private room,10023.0,1.0,1,35,110,93.0
6181,2000824,2012-03-24,Furnished Artist Live Work Studio,Brooklyn,Apartment,100.0,Entire home/apt,11237.0,3.0,1,1,160,100.0
15804,9224151,2013-10-04,Spacious Sunny Master Bedroom,Brooklyn,Apartment,,Private room,11222.0,1.0,1,0,50,
23740,22927646,2014-10-24,Manhattan Studio,Manhattan,Apartment,,Entire home/apt,10028.0,1.0,1,0,250,
8558,3249409,2012-08-13,Bright Spacious Quiet Williamsburg,Brooklyn,Apartment,,Entire home/apt,11249.0,2.0,1,0,175,
8043,2943083,2012-07-15,Nice Studio in Boerum Hill Brooklyn,Brooklyn,Apartment,95.0,Entire home/apt,11217.0,1.0,1,4,100,95.0
17111,10609847,2013-12-13,Clean bedroom with private bathroom,Brooklyn,Apartment,,Private room,11211.0,1.0,1,0,93,
12816,6116669,2013-04-27,Spatious room in historic Brooklyn,Brooklyn,Apartment,95.0,Private room,11205.0,1.0,1,4,100,99.0
25182,25142478,2014-12-23,HOME AWAY FROM HOME,Manhattan,Apartment,80.0,Entire home/apt,10010.0,1.0,1,1,175,80.0
10391,4271676,2012-11-28,Cozy room in Nolita/SoHo,Manhattan,Apartment,,Private room,10012.0,1.0,1,0,100,
599,78066,2010-02-05,Sunny Brooklyn private room to rent,Brooklyn,Apartment,,Private room,11216.0,1.0,1,1,59,
7312,2540046,2012-06-04,Super sized bedroom in East Village,Manhattan,Apartment,100.0,Private room,10003.0,1.0,1,2,95,100.0
14779,8015051,2013-08-07,Spacious 1 Bedroom Apt in Brooklyn,Brooklyn,Apartment,85.0,Entire home/apt,11216.0,3.0,1,16,125,87.0
22676,20990447,2014-09-05,2 weeks in NYC,Manhattan,Apartment,,Private room,10040.0,1.0,1,0,80,
111,10889,2009-03-21,Great house in Williamsburg,Brooklyn,House,95.0,Entire home/apt,11211.0,2.0,1,14,250,98.0
18562,12800495,2014-03-04,Newly Renovated 2BR Apt in W/Burg,Brooklyn,Apartment,85.0,Entire home/apt,11211.0,2.0,1,11,250,88.0
14351,7520396,2013-07-16,LOFT-LIKE 2BR BY THE CENTRAL PARK!,Manhattan,Apartment,100.0,Entire home/apt,10019.0,2.0,1,1,370,100.0
11879,5278391,2013-03-01,Large Wiliamsburg Private Bedroom,Brooklyn,Apartment,,Private room,11211.0,1.0,1,0,55,
3875,1114019,2011-09-05,Cozy loft bed in Lower East Side!,Manhattan,Apartment,95.0,Private room,10002.0,1.0,1,47,70,95.0
28110,34743395,2015-06-01,"Cozy, bright & spacious !!!",Brooklyn,Apartment,,Private room,11237.0,1.0,1,0,80,
3764,1020539,2011-08-25,Beautiful Sunny Room- Exposed Brick,Manhattan,Apartment,,Private room,10009.0,1.0,1,0,105,
4281,1279372,2011-10-11,Studio - Hottest BKLYN Neighborhood,Brooklyn,House,95.0,Entire home/apt,11238.0,1.0,1,16,149,98.0
19371,14601436,2014-04-22,"Modern Loft, Large Private Terrace.",Manhattan,Apartment,100.0,Entire home/apt,10002.0,2.0,1,1,225,100.0
2701,598895,2011-05-18,Amazing Williamsburg Studio NYC,Brooklyn,Apartment,90.0,Entire home/apt,11249.0,1.0,1,189,150,94.0
29296,38365930,2015-07-13,"New renovated, Large 2 BR Manhattan",Manhattan,Apartment,100.0,Entire home/apt,10002.0,3.0,1,1,260,100.0
6451,2125029,2012-04-12,Manhattan 2BR 2Bath Luxury Apt byUN,Manhattan,Apartment,,Entire home/apt,10016.0,6.0,1,0,300,
6363,2082420,2012-04-06,Hippest Greenpoint Apt Fits Four!,Brooklyn,Apartment,90.0,Entire home/apt,11222.0,3.0,1,10,185,90.0
16908,10397840,2013-12-03,Shared Three Bedrooms $800 a month,Brooklyn,Apartment,,Shared room,11226.0,1.0,1,0,70,
12437,5775980,2013-04-04,Loft studio in  Time Square,Manhattan,Apartment,90.0,Entire home/apt,10036.0,1.0,1,3,259,93.0
10783,4430212,2012-12-17,Spacious private room near subway.,Brooklyn,Apartment,,Private room,11206.0,1.0,1,1,59,
22025,19708200,2014-08-08,Amazing Terrace Suite.,Brooklyn,House,70.0,Private room,11236.0,2.0,1,5,49,70.0
19747,15378492,2014-05-11,Statue of Liberty Views on Hudson,Manhattan,Apartment,100.0,Entire home/apt,10280.0,5.0,1,4,400,100.0
30373,42518458,2015-08-25,Williamsburg luxury loft!King Room,Brooklyn,Loft,,Private room,11206.0,2.0,1,0,145,
